bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
37;;50Hertz_Transmission_GmbH;Umspannwerk_Wolmirstedt;;substation;380.0;380000;220000;SRID=4326;POINT(11.6389127631156_52.2687346818467);116.389.127.631;522.687.346.818;;
38;50;Vattenfall_Europe_Transmission;Umspannwerk_Teufelsbruch;;substation;380.0;380000;110000;SRID=4326;POINT(13.2115276454389_52.5806278102291);132.115.276.454;525.806.278.102;;
39;50;50Hertz_Transmission_GmbH;Stendal/West;StW;substation;380.0;380000;110000;SRID=4326;POINT(11.7273534150745_52.5689469938591);117.273.534.151;525.689.469.939;;
40;50;50Hertz_Transmission_GmbH;Siedenbrnzow;;substation;380.0;380000;110000;SRID=4326;POINT(13.1433929102518_53.9081469774219);131.433.929.103;539.081.469.774;;
41;;50Hertz;EON_AvaconUmspannwerk_Perleberg;;substation;380.0;380000;110000;SRID=4326;POINT(11.8531057080136_53.0865444750041);11.853.105.708;53.086.544.475;;
42;50;50Hertz;Gtrow;;substation;380.0;380000;220000;SRID=4326;POINT(12.1869848227216_53.8157751724384);121.869.848.227;538.157.751.724;;
43;;50Hertz_Transmission_GmbH;Brandenburg-West;;substation;220.0;220000;110000;SRID=4326;POINT(12.4993659669539_52.4052284251973);12.499.365.967;524.052.284.252;;
44;50;50Hertz;Vattenfall_Europe_AGUmspannwerk_Wuhlheide;;substation;220.0;220000;110000;SRID=4326;POINT(13.5061534469385_52.473822309174);135.061.534.469;524.738.223.092;;
45;50;50Hertz_Transmission_GmbH;Thyrow;;substation;220.0;380000;220000;SRID=4326;POINT(13.3057532949594_52.2307818451873);13.305.753.295;522.307.818.452;;
46;50;50Hertz;Umspannwerk_Marzahn;MZA9;substation;380.0;380000;220000;SRID=4326;POINT(13.5241987309997_52.5356342713481);13.524.198.731;525.356.342.713;;
47;50;Vattenfall_Europe_AG;50Hertz_Umspannwerk_Friedrichshain;;substation;380.0;380000;110000;SRID=4326;POINT(13.4564306927748_52.5214517451981);134.564.306.928;525.214.517.452;;
48;50;Stromnetz_Berlin;Umspannwerk_Biesdorf_Nord;BIN;substation;380.0;110000;11000;SRID=4326;POINT(13.5370442127043_52.5374565238016);135.370.442.127;525.374.565.238;;
49;;TenneT_TSO_GmbH;Umspannwerk_Helmstedt;;substation;380.0;380000;110000;SRID=4326;POINT(10.99933301239_52.2001419745622);109.993.330.124;522.001.419.746;;
50;;E.ON_Kraftwerke_GmbH;Kraftwerk_Buschhaus;;plant;380.0;;;SRID=4326;POINT(10.9772332275028_52.1694333176707);109.772.332.275;521.694.333.177;;
51;50;TenneT;Umspannwerk_Borken;;substation;380.0;380000;110000;SRID=4326;POINT(9.25938382024592_51.0603668474477);925.938.382.025;510.603.668.474;;
52;50;EnBW;Karlsruhe-Daxlanden;;substation;380.0;380000;220000;SRID=4326;POINT(8.3133401659254_49.0090434643525);831.334.016.593;490.090.434.644;;
53;50;EnBW;380-kV-Umspannwerk_Eichstetten;;substation;380.0;380000;220000;SRID=4326;POINT(7.75349546540486_48.0993557006259);77.534.954.654;480.993.557.006;;
54;;EnBW_Kernkraft_GmbH;Kernkraftwerk_Philippsburg;;plant;380.0;;;SRID=4326;POINT(8.43846751211921_49.2524597288652);843.846.751.212;492.524.597.289;;
